product,ppid,knob_name,knob_value
PRODA1,PP_PRODA1_04,SPACER_LOWK_K,k3.9
PRODA1,PP_PRODA1_04,M1_CU_RECIPE,R1
PRODA1,PP_PRODA1_05,GATE_PROFILE,STD
PRODA1,PP_PRODA1_05,SD_EPI_BORON,LOW_8E19
PRODA1,PP_PRODA1_05,CHANNEL_RELEASE_TIME,60s
PRODA1,PP_PRODA1_05,HKMG_WF_METAL,TiAlC_2nm
PRODA1,PP_PRODA1_05,SPACER_LOWK_K,k3.9
PRODA1,PP_PRODA1_05,M1_CU_RECIPE,R1
PRODA1,PP_PRODA1_06,GATE_PROFILE,STD
PRODA1,PP_PRODA1_06,SD_EPI_BORON,NOM
PRODA1,PP_PRODA1_06,CHANNEL_RELEASE_TIME,54s
PRODA1,PP_PRODA1_06,HKMG_WF_METAL,TiN_3.5nm
PRODA1,PP_PRODA1_06,SPACER_LOWK_K,k3.5
PRODA1,PP_PRODA1_06,M1_CU_RECIPE,R2
PRODB,PP_PRODB_01,GATE_PROFILE,STD
PRODB,PP_PRODB_01,SD_EPI_BORON,NOM
PRODB,PP_PRODB_01,CHANNEL_RELEASE_TIME,60s
PRODB,PP_PRODB_01,HKMG_WF_METAL,TiN_3nm
PRODB,PP_PRODB_01,SPACER_LOWK_K,k3.9
PRODB,PP_PRODB_01,M1_CU_RECIPE,R1
PRODB,PP_PRODB_02,GATE_PROFILE,TILT_2DEG
PRODB,PP_PRODB_02,SD_EPI_BORON,NOM
PRODB,PP_PRODB_02,CHANNEL_RELEASE_TIME,60s
PRODB,PP_PRODB_02,HKMG_WF_METAL,TiN_3nm
PRODB,PP_PRODB_02,SPACER_LOWK_K,k3.9
PRODB,PP_PRODB_02,M1_CU_RECIPE,R1
PRODB,PP_PRODB_03,GATE_PROFILE,STD
PRODB,PP_PRODB_03,SD_EPI_BORON,HIGH_1E20
PRODB,PP_PRODB_03,CHANNEL_RELEASE_TIME,60s
PRODB,PP_PRODB_03,HKMG_WF_METAL,TiN_3nm
PRODB,PP_PRODB_03,SPACER_LOWK_K,k3.9
PRODB,PP_PRODB_03,M1_CU_RECIPE,R1
PRODB,PP_PRODB_04,GATE_PROFILE,STD
PRODB,PP_PRODB_04,SD_EPI_BORON,NOM
PRODB,PP_PRODB_04,CHANNEL_RELEASE_TIME,72s
PRODB,PP_PRODB_04,HKMG_WF_METAL,TiN_3nm
PRODB,PP_PRODB_04,SPACER_LOWK_K,k3.9
PRODB,PP_PRODB_04,M1_CU_RECIPE,R1
PRODB,PP_PRODB_05,GATE_PROFILE,STD
PRODB,PP_PRODB_05,SD_EPI_BORON,LOW_8E19
PRODB,PP_PRODB_05,CHANNEL_RELEASE_TIME,60s
PRODB,PP_PRODB_05,HKMG_WF_METAL,TiAlC_2nm
PRODB,PP_PRODB_05,SPACER_LOWK_K,k3.9
PRODB,PP_PRODB_05,M1_CU_RECIPE,R1
PRODB,PP_PRODB_06,GATE_PROFILE,STD
PRODB,PP_PRODB_06,SD_EPI_BORON,NOM
PRODB,PP_PRODB_06,CHANNEL_RELEASE_TIME,54s
PRODB,PP_PRODB_06,HKMG_WF_METAL,TiN_3.5nm
PRODB,PP_PRODB_06,SPACER_LOWK_K,k3.5
PRODB,PP_PRODB_06,M1_CU_RECIPE,R2
