PRODUCT,ROOT_LOT_ID,WAFER_ID,VM_SNS_TEMP_01_residual_mean,VM_SNS_PRES_02_residual_max
PRODB,R030,4,-1.6726,1.87
PRODA,R166,2,,
PRODA,R062,4,,
PRODB,R061,2,,
PRODB,R066,3,-0.11420000000000002,
PRODB,R193,1,,
PRODB,R123,3,,
PRODB,R093,4,0.4255,0.7444
PRODA,R026,1,,
PRODB,R032,1,-0.2107,0.1437
PRODB,R139,3,,-0.1425
PRODB,R006,1,,
PRODB,R056,3,-0.11180000000000001,-0.2145
PRODB,R055,4,,
PRODB,R043,3,-1.3073,0.5046
PRODB,R056,1,0.7124,0.653
PRODA,R033,4,,
PRODB,R055,2,,
PRODA,R045,3,,
PRODB,R170,4,-0.4352,-0.8608
PRODB,R154,3,,
PRODA,R144,4,,-0.0744
PRODA,R122,3,-1.2185,1.8999
PRODB,R039,1,,
PRODA,R182,2,,
PRODB,R129,1,,
PRODA,R054,1,-0.0297,
PRODA,R184,2,,
PRODB,R190,3,-1.2931,0.0993
PRODA,R136,4,,
PRODB,R195,3,,
PRODA,R125,2,-0.3491,
PRODB,R136,4,,
PRODA,R083,3,,
PRODB,R064,1,,
PRODB,R142,3,,
PRODA,R094,3,,
PRODB,R114,1,-1.15335,
PRODB,R142,1,,
PRODB,R099,4,-1.6669,-1.6188
PRODB,R020,4,,
PRODB,R032,3,-1.043,
PRODB,R018,4,,
PRODA,R185,2,-0.8387,0.4532
PRODB,R083,3,,
PRODA,R152,2,,
PRODB,R007,4,-0.8564,
PRODB,R165,3,,
PRODB,R026,1,,
PRODB,R170,2,-0.7873,-0.3676
PRODB,R018,2,,
PRODA,R159,2,-0.8535,0.0507
PRODB,R157,3,,
PRODB,R030,2,-0.1659,
PRODA,R186,4,,
PRODB,R065,3,1.9198,0.4555
PRODB,R006,4,,
PRODA,R190,1,,
PRODA,R087,4,-0.20965,0.8524
PRODB,R026,2,,
PRODA,R138,4,0.2157,-0.4832
PRODB,R001,3,,
PRODB,R002,1,,
PRODA,R159,3,1.5364,1.0406
PRODA,R101,2,,
PRODA,R077,2,,
PRODB,R195,1,,
PRODB,R034,3,0.2979,-0.9461
PRODB,R105,2,,
PRODA,R153,1,,
PRODB,R186,3,,
PRODB,R042,2,1.0863,0.3417
PRODB,R136,2,,
PRODB,R042,1,,0.304
PRODA,R129,3,0.0996,-0.1735
PRODA,R018,3,,
PRODA,R024,3,,
PRODB,R123,2,,
PRODB,R195,4,,
PRODB,R063,2,-1.1914,
PRODA,R183,3,,
PRODB,R174,1,,
PRODA,R163,3,,
PRODB,R167,4,,-1.1392
PRODB,R030,1,,-0.7098
PRODA,R067,2,,
PRODB,R181,1,1.4746,0.3759
PRODA,R199,4,,0.2207
PRODB,R043,2,-0.8531,-1.4071
PRODA,R164,1,0.2682,-0.6306
PRODB,R150,3,,
PRODA,R103,2,,
PRODB,R075,2,,
PRODA,R045,4,,
PRODA,R174,3,,1.1046
PRODB,R199,4,,
PRODB,R167,1,-0.0772,0.0574
PRODA,R038,4,,
PRODB,R174,3,,
PRODB,R064,3,,
PRODA,R159,1,-1.6863,-0.9239
PRODB,R131,2,,
PRODA,R164,3,-1.3907,
PRODA,R029,2,0.3467,-0.1426
PRODA,R058,1,,
PRODA,R150,1,,
PRODB,R193,4,,
PRODA,R054,3,-0.8042,-0.8066
PRODA,R168,2,,
PRODB,R167,2,-0.4771,0.038
PRODB,R042,4,0.554,0.3442
PRODB,R195,5,,
PRODA,R012,3,,
PRODB,R145,2,0.1857,0.886
PRODB,R056,4,0.68905,0.4269
PRODA,R038,2,,
PRODB,R008,1,-0.3047,0.0885
PRODB,R010,5,,
PRODB,R052,2,0.6062,-0.9186
PRODA,R005,4,,
PRODA,R044,2,-0.5081,
PRODB,R022,4,,-1.0903
PRODB,R010,1,,
PRODB,R183,2,-0.1073,0.0551
PRODA,R080,2,0.0518,0.7515
PRODB,R085,2,-0.2781,2.2563
PRODB,R154,1,,
PRODA,R148,3,,
PRODA,R099,1,-0.2089,
PRODB,R133,1,,
PRODA,R184,1,,
PRODA,R158,2,0.1113,2.1287
PRODA,R174,4,0.0107,2.0677
PRODB,R149,2,-0.5299,
PRODA,R070,2,0.3088,-0.9595
PRODB,R116,4,,
PRODA,R186,5,,
PRODA,R096,2,0.5761,
PRODA,R062,2,,
PRODB,R109,4,1.0878,-0.1292
PRODA,R042,2,,
PRODA,R029,1,,
PRODA,R019,2,0.0032000000000000084,-0.2204
PRODB,R105,3,,
PRODA,R074,3,0.0607,-1.1185
PRODA,R104,2,-0.702,
PRODA,R037,3,-1.6865,0.2555
PRODB,R116,2,,
PRODA,R185,4,,-0.4389
PRODA,R151,3,0.2513,1.3796
PRODA,R144,2,,-0.1073
PRODA,R193,4,-1.2152,0.2641
PRODB,R033,2,,0.7322
PRODB,R133,4,,
PRODA,R070,3,0.8529,0.2405
PRODA,R193,3,-0.7487,-0.2438
PRODA,R104,1,-0.1098,
PRODB,R066,4,0.07525000000000001,0.6941
PRODA,R165,2,,
PRODA,R073,1,,
PRODA,R097,3,-0.3747,
PRODA,R164,4,0.2304,
PRODB,R023,4,,
PRODA,R029,5,,
PRODB,R002,3,,
PRODB,R181,3,0.6737,1.8378
PRODB,R112,1,0.9193,0.3319
PRODA,R106,1,,
PRODA,R106,4,,
PRODB,R081,3,1.8897,-0.246
PRODA,R195,3,,
PRODA,R094,4,,
PRODA,R136,3,,
PRODB,R081,2,-0.2435,-1.148
PRODA,R143,3,,0.4061
PRODA,R188,2,,
PRODB,R076,3,,
PRODA,R126,2,,0.176
PRODB,R122,3,,
PRODA,R057,4,,
PRODA,R163,1,,
PRODA,R068,3,,
PRODA,R017,2,,
PRODA,R168,3,,
PRODA,R155,4,,
PRODA,R091,2,-0.164,-1.1551
PRODB,R168,2,,
PRODB,R149,3,-1.2015,
PRODB,R029,3,,
PRODB,R123,4,,
PRODB,R076,4,,
PRODA,R083,4,,
PRODB,R199,2,,
PRODB,R059,3,,
PRODA,R037,2,-0.9069,1.1346
PRODA,R136,1,,
PRODB,R168,1,,
PRODB,R186,4,,
PRODB,R181,4,0.931,
PRODA,R103,4,,
PRODA,R042,3,,
PRODB,R081,1,0.7781,-0.6238
PRODA,R185,1,0.0989,-1.4551
PRODB,R097,1,-1.1585,0.5615
PRODA,R135,5,,
PRODA,R068,2,,
PRODA,R190,3,,0.109
PRODA,R081,2,-0.3496,
PRODB,R112,4,,-0.0544
PRODB,R156,3,-0.6739,
PRODA,R113,3,,
PRODA,R058,3,,
PRODA,R120,1,,
PRODA,R148,1,,
PRODA,R044,1,0.0487,
PRODB,R083,1,,
PRODA,R073,2,,
PRODB,R145,1,-0.4664,-0.058
PRODB,R148,3,,0.8222
PRODB,R164,2,,
PRODA,R152,4,,
PRODB,R186,1,,
PRODB,R012,1,0.1545,0.729
PRODA,R194,2,1.3764,1.4164
PRODB,R145,4,0.4574,1.6363
PRODB,R076,5,,
PRODB,R010,2,,
PRODB,R012,2,-0.2179,-1.7868
PRODA,R037,1,-0.8543,0.3029
PRODB,R147,2,,
PRODA,R091,4,0.6371,-0.1838
PRODA,R175,2,,
PRODB,R131,3,,
PRODB,R155,4,,0.38
PRODA,R025,3,,
PRODB,R122,4,,
PRODA,R148,2,,
PRODB,R083,2,,
PRODB,R008,4,1.2411,-0.3823
PRODA,R016,1,,
PRODB,R157,1,,
PRODB,R183,4,0.624,
PRODA,R043,2,,
PRODA,R169,1,,
PRODB,R135,2,,
PRODA,R081,1,0.3276,-0.9683
PRODA,R043,1,,
PRODB,R150,4,,
PRODA,R106,2,,
PRODA,R183,2,,
PRODB,R148,4,1.1039,
PRODA,R079,2,,
PRODA,R113,4,,
PRODB,R029,2,,
PRODA,R123,1,,
PRODA,R186,1,,
PRODA,R188,4,,
PRODB,R024,1,,
PRODA,R001,2,,-0.4553
PRODB,R053,3,,
PRODA,R094,5,,
PRODB,R020,1,,
PRODB,R139,4,0.117,-0.4494
PRODA,R097,2,0.8352,
PRODA,R073,3,,
PRODB,R053,1,,
PRODB,R139,1,-0.4081,0.3925
PRODA,R001,3,-0.7172,0.3965
PRODA,R001,4,-0.8113,0.8962
PRODA,R020,4,,
PRODB,R112,3,-0.8915,-0.8888
PRODB,R069,2,,
PRODA,R099,2,1.1948,0.9936
PRODA,R046,3,,
PRODB,R034,4,0.0855,
PRODB,R130,2,-0.4512,-0.7515
PRODA,R018,1,,
PRODB,R024,2,,
PRODA,R104,3,-1.1104,-0.4097
PRODB,R085,4,-0.7382,0.6308
PRODB,R082,1,-0.6563,
PRODB,R156,4,-0.1532,
PRODA,R017,1,,
PRODA,R166,3,,
PRODA,R126,1,-0.8935,0.2128
PRODA,R104,4,,0.6858
PRODA,R134,3,-0.1198,-0.1305
PRODB,R018,1,,
PRODB,R001,4,,
PRODA,R194,1,1.3532,-1.2299
PRODA,R070,1,-0.04974999999999999,0.9569
PRODA,R026,3,,
PRODA,R074,2,0.8417,1.1634
PRODB,R109,1,-0.5945,-0.0281
PRODA,R183,4,,
PRODB,R072,3,-1.3707,
PRODB,R058,4,,
PRODB,R147,4,,
PRODA,R010,2,,
PRODA,R075,4,0.422,
PRODB,R052,1,0.6858,
PRODA,R158,1,0.4752,1.0347
PRODA,R010,3,0.0491,0.7448
PRODB,R110,4,1.3106,
PRODB,R162,4,-1.1634000000000002,0.8708
PRODB,R157,2,,
PRODB,R186,2,,
PRODA,R166,4,,
PRODB,R039,3,,
PRODA,R015,2,,
PRODA,R166,1,,
PRODA,R173,3,0.1158,-1.1239
PRODB,R049,4,-0.13173333333333334,-0.1356
PRODA,R134,4,,0.5948
PRODA,R079,5,,
PRODB,R039,2,,
PRODB,R162,2,0.4765,1.1888
PRODB,R059,2,,
PRODB,R183,5,,
PRODA,R181,5,,
PRODA,R026,4,,
PRODA,R075,1,0.2342,-0.4875
PRODA,R186,2,,
PRODB,R141,2,,
PRODB,R190,4,,
PRODB,R071,1,,
PRODB,R089,2,-0.6288,0.7876
PRODA,R092,3,0.0919,
PRODB,R129,2,,
PRODA,R046,1,,
PRODB,R088,3,,
PRODA,R018,2,,
PRODA,R130,3,,
PRODB,R142,2,,
PRODB,R057,1,,
PRODB,R064,4,,
PRODA,R076,1,,
PRODA,R075,2,-0.9391,0.0396
PRODA,R056,2,,
PRODB,R117,1,1.2067999999999999,-0.2512
PRODA,R159,4,,
PRODB,R122,1,,
PRODB,R190,2,,-0.0625
PRODA,R194,3,1.4622,-0.9991
PRODA,R092,2,-0.3142,
PRODB,R094,1,,
PRODB,R110,5,,
PRODA,R167,1,0.7822,0.4213
PRODB,R166,1,,
PRODA,R029,4,-0.8506,0.6071
PRODA,R131,2,-0.1121,
PRODB,R082,4,-0.0535,0.6507
PRODA,R165,1,,
PRODA,R153,2,,
PRODB,R012,4,-0.8752,0.2617
PRODA,R115,2,,
PRODA,R050,2,-0.6255,-0.5884
PRODA,R175,1,,
PRODB,R089,4,,
PRODA,R080,4,-0.8668,0.1794
PRODA,R057,1,,
PRODA,R020,2,,
PRODA,R012,4,,
PRODB,R110,2,0.3212,0.0325
PRODB,R190,1,1.145,0.1231
PRODA,R033,3,,
PRODB,R135,4,,
PRODA,R103,1,,
PRODB,R071,2,,
PRODB,R079,1,,
PRODA,R187,2,,
PRODB,R093,1,-0.3077,-1.2079
PRODA,R059,1,,
PRODA,R068,1,,
PRODB,R020,2,,
PRODA,R001,1,0.7037,
PRODA,R173,4,-0.4278,-0.4584
PRODA,R067,4,,
PRODB,R052,4,0.0975,-0.7716
PRODB,R049,3,0.07619999999999999,0.2096
PRODA,R193,2,0.7301,
PRODB,R072,2,,-0.1664
PRODA,R142,2,0.7324,-0.6224
PRODB,R145,3,-0.3986,-0.0516
PRODA,R152,1,,
PRODA,R067,3,,
PRODB,R034,1,0.0346,0.8273
PRODB,R165,2,,
PRODA,R113,1,,
PRODA,R063,4,0.0802,-0.0141
PRODA,R153,4,,
PRODB,R005,3,,
PRODB,R026,4,,
PRODA,R111,4,,
PRODB,R159,4,0.4469,-1.9242
PRODA,R134,2,0.4843,
PRODB,R133,2,,
PRODA,R097,1,,0.2059
PRODB,R105,1,,
PRODA,R043,4,,
PRODB,R042,3,0.7446,
PRODA,R146,4,-1.8561,0.9701
PRODA,R142,1,-1.0395,0.4491
PRODB,R110,3,-0.2812,
PRODB,R061,3,,
PRODB,R155,3,-0.4196,1.1375
PRODB,R170,3,-1.4423,1.4208
PRODA,R183,1,,
PRODB,R130,3,0.3839,
PRODA,R181,1,,
PRODB,R022,3,,-1.1065
PRODA,R044,3,-0.0578,
PRODB,R174,2,,
PRODB,R016,3,,
PRODA,R054,4,-1.5933,
PRODB,R166,2,,
PRODB,R131,4,,
PRODB,R005,1,,
PRODB,R130,4,0.7079,-0.8801
PRODA,R018,4,,
PRODA,R196,1,,
PRODB,R094,2,,
PRODB,R085,1,-0.4524,0.6693
PRODA,R195,2,,
PRODB,R174,4,,
PRODA,R167,3,-0.9849,0.1741
PRODB,R199,3,,
PRODB,R148,1,-1.284,-0.9371
PRODA,R033,1,,
PRODB,R063,3,-0.1155,-0.0329
PRODB,R161,2,,
PRODB,R065,2,0.7,-1.1055
PRODB,R063,1,,-0.0696
PRODA,R057,2,,
PRODB,R132,3,,
PRODB,R072,4,,0.301
PRODA,R130,1,,
PRODB,R094,4,,
PRODA,R125,1,-0.7935,0.7783
PRODA,R046,2,,
PRODB,R032,2,-1.6092,
PRODA,R063,3,0.040549999999999975,
PRODB,R071,3,,
PRODA,R082,1,-0.27375,1.5704
PRODA,R075,3,,-0.4747
PRODA,R019,1,-0.4894,-0.7481
PRODA,R125,4,,-0.0185
PRODA,R165,3,,
PRODA,R196,2,,
PRODA,R080,3,0.3997,0.3147
PRODA,R105,3,0.3237,-0.2033
PRODB,R193,3,,
PRODB,R136,1,,
PRODA,R094,2,,
PRODA,R059,2,,
PRODA,R158,3,0.4776,
PRODB,R056,2,-0.1879,0.7892
PRODB,R066,1,-0.03875000000000001,0.276
PRODB,R033,3,0.5595,0.591
PRODB,R065,4,0.5448,-0.6903
PRODB,R065,1,-1.1613,-0.3997
PRODA,R185,3,0.9881,
PRODB,R079,3,,
PRODB,R149,4,-0.7276,0.3177
PRODA,R138,2,-0.2032,
PRODA,R062,1,,
PRODA,R083,2,,
PRODA,R195,1,,
PRODA,R068,4,,
PRODB,R075,4,,
PRODA,R181,3,,
PRODA,R092,4,-0.1587,
PRODA,R129,4,-1.2975,
PRODA,R016,2,,
PRODB,R027,1,,
PRODA,R059,4,,
PRODB,R079,4,,
PRODB,R029,1,,
PRODB,R031,1,0.0711,0.0663
PRODA,R105,1,,-0.8457
PRODB,R152,2,,
PRODB,R082,3,0.492,0.1587
PRODB,R114,2,0.4694,-0.7806
PRODA,R126,4,-0.352,-0.8577
PRODA,R079,1,,
PRODA,R085,1,0.4329,
PRODA,R163,2,,
PRODA,R169,2,,
PRODB,R092,3,,
PRODA,R096,1,0.6426,0.9457
PRODA,R141,1,,
PRODA,R107,5,,
PRODA,R081,4,0.8393,-1.0809
PRODB,R164,4,,
PRODB,R092,1,,
PRODB,R058,3,,
PRODB,R057,3,,
PRODA,R099,4,1.1846,
PRODB,R023,3,,
PRODB,R088,1,,
PRODB,R141,3,,
PRODA,R041,1,,
