PRODUCT,ROOT_LOT_ID,WAFER_ID,FAB_CONTACT_ETCH_tkout_status,FAB_GATE_ETCH_ecuall,FAB_GATE_ETCH_eqp_id,FAB_METAL_ETCH_eqp_id,FAB_SPACER_CVD_eqp_id,MASK_GATE_PHOTO_reticle
PRODB,R064,4,,ETCH_02_CH_B,ETCH_02,ETCH_11,,PRODB-PART|RET_002
PRODB,R071,3,,ETCH_02_CH_B,ETCH_02,ETCH_11,,PRODB-PART|RET_002
PRODB,R168,3,,ETCH_02_CH_A,ETCH_02,ETCH_11,,PRODB-PART|RET_002
PRODB,R123,4,,ETCH_02_CH_A,ETCH_02,ETCH_11,,PRODB-PART|RET_003
PRODB,R193,2,,,,,,
PRODA,R094,2,PASSED,ETCH_01_CH_B_U1,ETCH_01,,CVD_02,PRODA-PART|RET_001
PRODA,R062,3,PASSED,,,,CVD_02,PRODA-PART|RET_002
PRODA,R012,3,,,,,,
PRODA,R184,4,,ETCH_02_CH_B,ETCH_02,,CVD_02,PRODA-PART|RET_002
PRODA,R010,3,,,,,,
PRODA,R159,4,,,,,,
PRODA,R181,1,,ETCH_01_CH_A,ETCH_01,,,PRODA-PART|RET_003
PRODB,R123,1,,,,ETCH_11,,PRODB-PART|RET_003
PRODB,R057,2,,,,,,
PRODB,R093,1,,,,,,
PRODA,R044,4,,,,,,
PRODB,R023,2,,,,,,
PRODA,R175,4,PASSED,ETCH_02_CH_A_U1,ETCH_02,,,PRODA-PART|RET_003
PRODB,R027,2,,,,,,
PRODA,R148,3,,,,,,
PRODB,R061,4,,ETCH_02_CH_A_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_002
PRODA,R054,3,,,,,,
PRODA,R081,4,,,,,,
PRODA,R188,3,,,,,,
PRODA,R085,2,,,,,,
PRODB,R053,2,,ETCH_02_CH_B,ETCH_02,ETCH_11,,
PRODA,R042,3,PASSED,ETCH_01_CH_B_U1,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODB,R075,2,,,,,,
PRODA,R174,2,,,,,,
PRODA,R075,1,,,,,,
PRODA,R166,1,PASSED,ETCH_01_CH_B_U1,ETCH_01,ETCH_11,,PRODA-PART|RET_003
PRODA,R103,4,,,,,,
PRODA,R099,1,,,,,,
PRODA,R019,3,,,,,,
PRODA,R020,1,,,,,,
PRODB,R170,2,,ETCH_01_CH_B,ETCH_01,ETCH_11,,PRODB-PART|RET_003
PRODA,R010,2,,,,,,
PRODB,R061,3,,,,ETCH_11,,PRODB-PART|RET_001
PRODA,R038,4,,,,,,
PRODB,R122,4,,,,,,
PRODA,R193,2,,ETCH_02_CH_B,ETCH_02,ETCH_11,,PRODA-PART|RET_002
PRODA,R092,2,,,,,,
PRODA,R025,4,,,,,,
PRODA,R075,4,,,,,,
PRODB,R093,2,,,,,,
PRODA,R146,1,PASSED,ETCH_01_CH_B_U1,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODB,R030,2,,,,,,
PRODA,R155,4,,ETCH_01_CH_A_U1,ETCH_01,,CVD_02,PRODA-PART|RET_003
PRODA,R148,1,,,,,,
PRODA,R038,3,,,,,,
PRODB,R018,4,,,,,,
PRODB,R089,2,,ETCH_02_CH_A,ETCH_02,ETCH_11,,PRODB-PART|RET_003
PRODA,R185,3,,,,,,
PRODB,R010,5,,ETCH_02_CH_A_U1,ETCH_02,,,PRODB-PART|RET_002
PRODB,R061,2,,ETCH_02_CH_A,ETCH_02,ETCH_11,,PRODB-PART|RET_002
PRODB,R132,3,,ETCH_01_CH_B,ETCH_01,,,PRODB-PART|RET_001
PRODB,R147,4,,,,,,
PRODA,R091,2,,,,,,
PRODA,R186,1,PASSED,ETCH_02_CH_B_U1,ETCH_02,,CVD_02,PRODA-PART|RET_001
PRODB,R129,4,,ETCH_01_CH_B,ETCH_01,ETCH_11,,PRODB-PART|RET_003
PRODB,R008,4,,,,,,
PRODA,R058,3,,,,,,
PRODB,R085,2,,,,,,
PRODB,R079,4,,,,,,
PRODB,R110,5,,ETCH_02_CH_B,ETCH_02,ETCH_11,,PRODB-PART|RET_002
PRODA,R073,3,PASSED,ETCH_02_CH_A,ETCH_02,,CVD_02,PRODA-PART|RET_002
PRODB,R109,1,,ETCH_01_CH_A_U1,ETCH_01,ETCH_11,,
PRODB,R089,3,,ETCH_02_CH_A_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_001
PRODB,R105,4,,ETCH_01_CH_A_U1,ETCH_01,ETCH_11,,PRODB-PART|RET_003
PRODA,R001,3,,,,ETCH_11,,
PRODB,R123,2,,,,ETCH_11,,PRODB-PART|RET_003
PRODA,R188,2,,,,,,
PRODA,R131,2,PASSED,ETCH_02_CH_B,ETCH_02,,CVD_02,PRODA-PART|RET_001
PRODA,R059,4,,,,,,
PRODB,R006,4,,,,,,
PRODA,R199,2,PASSED,ETCH_01_CH_B,ETCH_01,,CVD_02,PRODA-PART|RET_003
PRODA,R148,4,,,,,,
PRODB,R114,2,,,,,,
PRODB,R199,2,,ETCH_01_CH_B_U1,ETCH_01,,,PRODB-PART|RET_001
PRODB,R010,4,,ETCH_01_CH_A_U1,ETCH_01,ETCH_11,,
PRODB,R096,1,,,,,,
PRODA,R107,3,PASSED,ETCH_02_CH_B_U1,ETCH_02,,CVD_02,PRODA-PART|RET_003
PRODB,R096,3,,,,,,
PRODA,R186,2,PASSED,ETCH_02_CH_B,ETCH_02,,CVD_02,PRODA-PART|RET_003
PRODA,R018,4,PASSED,ETCH_01_CH_A,ETCH_01,,CVD_02,PRODA-PART|RET_003
PRODA,R111,4,,,,,,
PRODB,R105,2,,ETCH_02_CH_A,ETCH_02,ETCH_11,,PRODB-PART|RET_003
PRODB,R081,1,,,,,,
PRODA,R037,3,,,,,,
PRODB,R161,3,,,,,,
PRODB,R181,1,,,,,,
PRODA,R092,3,,,,,,
PRODA,R151,4,,,,,,
PRODB,R049,1,,,,,,
PRODB,R007,2,,ETCH_02_CH_A_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_002
PRODB,R157,2,,,,,,
PRODB,R110,2,,ETCH_02_CH_B,ETCH_02,ETCH_11,,PRODB-PART|RET_001
PRODA,R115,2,,,,ETCH_11,,
PRODB,R169,2,,,,,,
PRODA,R024,4,,,,,,
PRODA,R010,4,,,,,,
PRODA,R126,2,,,,,,
PRODA,R016,3,,,,ETCH_11,,
PRODB,R122,3,,,,,,
PRODA,R075,2,,,,,,
PRODB,R186,3,,,,,,
PRODA,R043,1,,,,ETCH_11,,
PRODB,R069,2,,ETCH_02_CH_B_U1,ETCH_01,ETCH_11,,PRODB-PART|RET_001
PRODB,R043,3,,,,,,
PRODA,R037,4,,,,,,
PRODA,R194,3,,,,,,
PRODA,R076,1,,,,ETCH_11,,
PRODA,R080,3,,,,,,
PRODB,R012,4,,,,,,
PRODB,R010,2,,,,ETCH_11,,PRODB-PART|RET_003
PRODA,R083,1,PASSED,ETCH_01_CH_A_U1,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODA,R115,1,,,,ETCH_11,,
PRODB,R088,3,,ETCH_02_CH_B,ETCH_02,ETCH_11,,PRODB-PART|RET_002
PRODB,R067,3,,,,,,
PRODB,R193,4,,,,,,
PRODB,R195,3,,,,ETCH_11,,PRODB-PART|RET_003
PRODB,R072,2,,ETCH_02_CH_B,ETCH_02,ETCH_11,,PRODB-PART|RET_003
PRODA,R101,3,,,,,,
PRODB,R002,2,,ETCH_02_CH_A_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_002
PRODA,R050,3,,,,,,
PRODA,R085,4,,,,,,
PRODA,R193,5,PASSED,ETCH_02_CH_A_U1,ETCH_02,,CVD_02,PRODA-PART|RET_001
PRODB,R037,2,,,,,,
PRODA,R164,2,,,,,,
PRODB,R085,4,,,,,,
PRODA,R005,2,,,,ETCH_11,,
PRODA,R166,3,PASSED,ETCH_01_CH_B,ETCH_01,ETCH_11,CVD_02,PRODA-PART|RET_001
PRODB,R016,4,,,,,,
PRODA,R134,2,,,,,,
PRODA,R142,2,,,,,,
PRODA,R029,5,PASSED,ETCH_01_CH_B,ETCH_01,,CVD_02,PRODA-PART|RET_001
PRODB,R029,3,,,,,,PRODB-PART|RET_001
PRODB,R195,4,,ETCH_02_CH_A_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_001
PRODA,R131,1,PASSED,ETCH_01_CH_A,ETCH_01,,CVD_02,
PRODA,R074,1,,,,,,
PRODB,R094,1,,ETCH_01_CH_B_U1,ETCH_01,ETCH_11,,PRODB-PART|RET_003
PRODB,R030,1,,,,,,
PRODB,R110,3,,,,ETCH_11,,PRODB-PART|RET_002
PRODB,R071,1,,ETCH_01_CH_B_U1,ETCH_01,,,PRODB-PART|RET_003
PRODB,R022,1,,,,,,
PRODA,R015,1,,,,ETCH_11,,
PRODB,R042,3,,,,,,
PRODB,R139,1,,,,,,
PRODB,R092,2,,ETCH_02_CH_B_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_001
PRODA,R150,2,PASSED,ETCH_01_CH_A_U1,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODA,R101,4,,,,,,
PRODB,R167,2,,,,,,
PRODB,R099,2,,,,ETCH_11,,
PRODA,R169,1,PASSED,,,,CVD_02,PRODA-PART|RET_002
PRODB,R174,2,,ETCH_01_CH_A,ETCH_01,ETCH_11,,PRODB-PART|RET_002
PRODB,R031,4,,,,,,
PRODA,R122,4,,,,,,
PRODA,R107,4,PASSED,,,,CVD_02,PRODA-PART|RET_001
PRODB,R164,1,,ETCH_01_CH_B,ETCH_02,ETCH_11,,PRODB-PART|RET_003
PRODA,R006,4,,,,,,
PRODB,R149,4,,,,,,
PRODA,R120,1,,,,,,
PRODA,R024,2,,,,,,
PRODA,R176,2,PASSED,ETCH_01_CH_B,ETCH_01,,CVD_02,PRODA-PART|RET_001
PRODB,R012,2,,,,,,
PRODA,R125,1,,,,,,
PRODB,R122,2,,,,,,
PRODA,R054,2,,,,,,
PRODB,R039,4,,,,,,
PRODB,R131,2,,ETCH_02_CH_B_U1,ETCH_01,ETCH_11,,PRODB-PART|RET_001
PRODB,R079,1,,,,,,
PRODB,R094,4,,,,,,
PRODB,R123,3,,ETCH_02_CH_B,ETCH_02,ETCH_11,,PRODB-PART|RET_003
PRODA,R159,2,,,,,,
PRODB,R117,1,,ETCH_01_CH_B_U1,ETCH_01,ETCH_11,,PRODB-PART|RET_003
PRODB,R135,3,,,,,,
PRODA,R079,1,PASSED,,,,CVD_02,PRODA-PART|RET_001
PRODA,R107,1,,ETCH_02_CH_A_U1,ETCH_02,,CVD_02,PRODA-PART|RET_002
PRODA,R101,1,,,,,,
PRODB,R097,3,,,,,,
PRODB,R156,4,,,,,,
PRODA,R099,4,,,,,,
PRODB,R110,1,,ETCH_02_CH_B,ETCH_02,ETCH_11,,PRODB-PART|RET_002
PRODA,R046,1,,,,ETCH_11,,
PRODB,R027,3,,,,,,
PRODB,R109,5,,ETCH_02_CH_A_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_002
PRODA,R029,3,PASSED,ETCH_02_CH_A_U1,ETCH_02,,CVD_02,PRODA-PART|RET_002
PRODA,R087,2,,,,,,
PRODA,R006,2,,,,,,
PRODA,R017,3,PASSED,ETCH_01_CH_B_U1,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODB,R053,3,,ETCH_01_CH_B_U1,ETCH_01,ETCH_11,,PRODB-PART|RET_003
PRODB,R067,2,,,,,,
PRODB,R039,3,,,,,,
PRODB,R059,3,,,,,,
PRODA,R105,4,PASSED,ETCH_01_CH_B_U1,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODB,R049,3,,,,,,
PRODA,R165,3,,,,,,
PRODB,R161,4,,,,,,
PRODA,R058,1,,,,,,
PRODB,R056,4,,,,,,
PRODA,R190,4,,,,,,
PRODA,R194,4,,,,,,
PRODA,R168,1,,,,,,
PRODA,R163,4,,,,,,
PRODB,R186,4,,,,,,
PRODB,R033,1,,,,,,
PRODA,R082,3,,,,,,
PRODB,R141,1,,,,,,
PRODB,R112,3,,,,,,
PRODB,R131,1,,ETCH_02_CH_A_U1,ETCH_01,ETCH_11,,PRODB-PART|RET_001
PRODB,R064,3,,ETCH_01_CH_A_U1,ETCH_01,,,
PRODB,R079,3,,,,,,
PRODA,R015,3,,,,ETCH_11,,
PRODA,R196,2,PASSED,ETCH_01_CH_B,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODA,R029,1,PASSED,ETCH_02_CH_A,ETCH_02,,CVD_02,PRODA-PART|RET_003
PRODA,R001,1,,,,ETCH_11,,
PRODA,R094,4,PASSED,ETCH_01_CH_B_U1,ETCH_01,,CVD_02,PRODA-PART|RET_003
PRODA,R073,1,,ETCH_01_CH_A,ETCH_01,,CVD_02,PRODA-PART|RET_001
PRODA,R111,2,PASSED,ETCH_02_CH_B,ETCH_02,,CVD_02,PRODA-PART|RET_002
PRODB,R001,1,,,,,,
PRODB,R161,1,,,,,,
PRODB,R166,1,,,,,,
PRODA,R182,2,PASSED,ETCH_01_CH_B,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODB,R174,3,,ETCH_02_CH_A_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_003
PRODA,R063,2,,,,,,
PRODA,R176,1,PASSED,ETCH_01_CH_B_U1,ETCH_01,,CVD_02,PRODA-PART|RET_003
PRODB,R064,1,,ETCH_01_CH_A,ETCH_01,ETCH_11,,PRODB-PART|RET_003
PRODB,R139,4,,,,,,
PRODA,R099,3,,,,,,
PRODB,R059,4,,,,,,
PRODA,R153,2,,,,,,
PRODA,R092,1,,,,,,
PRODA,R079,5,,ETCH_01_CH_A,ETCH_01,,CVD_02,PRODA-PART|RET_003
PRODA,R153,1,,,,,,
PRODA,R111,1,PASSED,ETCH_01_CH_B,ETCH_01,,CVD_02,PRODA-PART|RET_001
PRODA,R196,4,PASSED,ETCH_01_CH_A,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODA,R019,4,,,,,,
PRODB,R058,1,,ETCH_01_CH_B,ETCH_01,ETCH_11,,PRODB-PART|RET_002
PRODA,R001,2,,,,ETCH_11,,
PRODB,R142,2,,ETCH_01_CH_A_U1,ETCH_01,ETCH_11,,PRODB-PART|RET_003
PRODA,R044,1,,,,,,
PRODA,R045,2,,,,,,
PRODA,R182,1,,ETCH_02_CH_A,ETCH_02,,CVD_02,PRODA-PART|RET_003
PRODA,R006,1,,,,,,
PRODA,R125,3,,,,,,
PRODB,R150,4,,,,,,
PRODB,R020,4,,,,,,
PRODA,R122,2,,,,,,
PRODA,R159,3,,,,,,
PRODB,R190,2,,,,,,
PRODB,R169,1,,,,,,
PRODA,R150,4,PASSED,ETCH_02_CH_B,ETCH_02,,CVD_02,PRODA-PART|RET_002
PRODA,R166,4,,,,ETCH_11,,
PRODB,R043,1,,,,,,
PRODB,R190,3,,,,,,
PRODA,R104,2,,,,,,
PRODB,R007,1,,,,ETCH_11,,PRODB-PART|RET_002
PRODB,R058,4,,ETCH_01_CH_B,ETCH_01,ETCH_11,,PRODB-PART|RET_003
PRODB,R133,2,,,,,,
PRODA,R138,2,,,,ETCH_11,,
PRODA,R194,1,,,,,,
PRODA,R050,4,,,,,,
PRODA,R018,1,PASSED,ETCH_01_CH_B_U1,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODA,R146,2,PASSED,ETCH_02_CH_B_U1,ETCH_02,,CVD_02,PRODA-PART|RET_002
PRODA,R129,2,,,,,,
PRODA,R152,4,,ETCH_01_CH_B_U1,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODA,R195,2,,,,ETCH_11,,
PRODB,R150,3,,,,,,
