PRODUCT,ROOT_LOT_ID,WAFER_ID,KNOB_CONTACT_ETCH_ppid,KNOB_GATE_ETCH_ppid,KNOB_METAL_ETCH_ppid
PRODB,R007,1,,,KNOB_M1
PRODA,R193,2,,KNOB_A,
PRODA,R042,3,KNOB_STD,KNOB_NEW,
PRODB,R071,4,,KNOB_A,
PRODB,R039,1,,,
PRODA,R115,1,,,
PRODB,R170,3,,,PP_X9_0500
PRODA,R096,1,,,
PRODA,R142,3,,,
PRODA,R175,5,KNOB_STD,KNOB_A,
PRODA,R101,1,,,
PRODB,R055,4,,,
PRODA,R194,4,,,
PRODA,R129,3,,,
PRODB,R033,2,,,
PRODA,R107,4,KNOB_STD,,
PRODB,R145,1,,,
PRODA,R123,3,,,
PRODA,R050,3,,,
PRODB,R193,3,,,
PRODA,R150,5,KNOB_STD,KNOB_B,
PRODB,R073,3,,,
PRODA,R151,2,,,
PRODB,R022,4,,,
PRODB,R092,2,,KNOB_A,KNOB_M1
PRODA,R070,1,KNOB_STD,KNOB_A,
PRODA,R193,3,,KNOB_NEW,
PRODB,R165,3,,KNOB_A,KNOB_M1
PRODB,R053,2,,PP_X9_2300,KNOB_M1
PRODB,R043,4,,,
PRODA,R046,4,,,
PRODB,R023,3,,,
PRODB,R034,4,,KNOB_A,KNOB_M1
PRODA,R167,3,,,
PRODB,R066,1,,,
PRODA,R063,1,,,
PRODA,R044,3,,,
PRODA,R059,4,,,
PRODA,R024,1,,,
PRODA,R082,1,,,
PRODA,R164,1,,,
PRODA,R130,3,,,
PRODB,R168,2,,KNOB_A,KNOB_M1
PRODB,R033,3,,,
PRODB,R005,4,,,
PRODA,R105,4,KNOB_STD,KNOB_NEW,
PRODB,R149,3,,,
PRODB,R006,3,,,
PRODA,R111,2,KNOB_STD,KNOB_A,
PRODA,R155,2,PP_X9_0200,,
PRODA,R043,2,,,
PRODB,R059,1,,,
PRODB,R059,3,,,
PRODA,R081,2,,,
PRODB,R075,4,,,
PRODB,R031,2,,,
PRODA,R168,1,,,
PRODB,R132,2,,,KNOB_M1
PRODA,R063,2,,,
PRODA,R074,3,,,
PRODA,R113,2,,,
PRODA,R092,3,,,
PRODB,R083,4,,KNOB_A,KNOB_M1
PRODA,R063,4,,,
PRODA,R018,1,KNOB_STD,KNOB_NEW,
PRODA,R138,2,,,
PRODB,R085,2,,,
PRODB,R114,1,,,
PRODB,R174,1,,KNOB_A,KNOB_M1
PRODB,R056,1,,,
PRODB,R161,3,,,
PRODA,R056,1,KNOB_STD,KNOB_A,
PRODB,R168,3,,KNOB_A,PP_X9_0500
PRODA,R138,3,,,
PRODB,R096,3,,,
PRODB,R042,2,,,
PRODB,R142,1,,KNOB_A,KNOB_M1
PRODA,R104,3,,,
PRODB,R039,4,,,
PRODA,R062,1,KNOB_STD,KNOB_B,
PRODA,R041,2,PP_X9_0200,KNOB_B,
PRODA,R122,3,,,
PRODB,R114,2,,,
PRODB,R026,1,,KNOB_A,KNOB_M1
PRODA,R142,4,,,
PRODB,R161,4,,,
PRODA,R183,4,KNOB_STD,KNOB_B,
PRODA,R130,1,,,
PRODB,R053,4,,PP_X9_2300,
PRODA,R151,1,,,
PRODA,R163,1,,,
PRODB,R136,1,,,
PRODB,R157,1,,,
PRODA,R096,2,,,
PRODB,R193,1,,,
PRODA,R083,1,KNOB_STD,KNOB_B,
PRODB,R164,3,,PP_X9_2300,KNOB_M1
PRODB,R083,3,,KNOB_A,PP_X9_0500
PRODA,R125,2,,,
PRODA,R062,4,KNOB_STD,KNOB_A,
PRODB,R075,3,,,
PRODB,R063,3,,,
PRODB,R052,4,,,
PRODA,R085,2,,,
PRODB,R116,1,,,
PRODA,R006,4,,,
PRODB,R079,1,,,
PRODA,R016,1,,,
PRODA,R173,4,,,
PRODA,R094,5,KNOB_STD,KNOB_A,
PRODB,R065,1,,,
PRODA,R087,2,,,
PRODB,R096,2,,,
PRODB,R093,2,,,
PRODA,R143,3,,,
PRODB,R032,2,,,
PRODA,R079,4,KNOB_STD,KNOB_NEW,
PRODA,R081,3,,,
PRODA,R186,5,KNOB_STD,KNOB_A,
PRODA,R123,2,,,
PRODB,R199,3,,KNOB_A,KNOB_M1
PRODA,R091,2,,,
PRODB,R167,3,,,
PRODA,R046,3,,,
PRODB,R082,4,,,
PRODA,R111,4,,,
PRODA,R131,4,,,
PRODB,R139,4,,,
PRODB,R132,5,,PP_X9_2300,KNOB_M1
PRODA,R087,1,,,
PRODA,R037,1,,,
PRODA,R190,4,,,
PRODA,R029,1,PP_X9_0200,KNOB_B,
PRODA,R163,4,,,
PRODB,R020,1,,,
PRODB,R072,3,,KNOB_A,KNOB_M1
PRODB,R059,4,,,
PRODA,R050,4,,,
PRODA,R167,2,,,
PRODB,R129,4,,KNOB_A,KNOB_M1
PRODB,R164,1,,KNOB_A,KNOB_M1
PRODA,R092,1,,,
PRODB,R005,2,,,
PRODB,R157,3,,,
PRODA,R134,3,,,
PRODA,R134,4,,,
PRODA,R045,3,,,
PRODB,R016,4,,,
PRODA,R199,3,KNOB_STD,,
PRODA,R025,4,,,
PRODB,R190,4,,,
PRODA,R029,4,KNOB_STD,KNOB_A,
PRODB,R129,1,,PP_X9_2300,KNOB_M1
PRODB,R067,4,,,
PRODA,R101,3,,,
PRODA,R166,3,PP_X9_0200,KNOB_B,
PRODA,R099,4,,,
PRODA,R026,4,,,
PRODB,R093,3,,,
PRODA,R126,2,,,
PRODA,R174,3,,,
PRODB,R132,4,,KNOB_A,KNOB_M1
PRODB,R147,1,,,
PRODA,R042,2,KNOB_STD,KNOB_B,
PRODB,R027,1,,,
PRODB,R136,2,,,
PRODB,R168,4,,KNOB_A,KNOB_M1
PRODB,R116,2,,,
PRODA,R123,1,,,
PRODA,R136,3,,,
PRODB,R139,1,,,
PRODA,R075,4,,,
PRODA,R199,2,KNOB_STD,KNOB_NEW,
PRODB,R079,2,,,
PRODB,R150,4,,,
PRODB,R133,1,,,
PRODB,R049,3,,,
PRODA,R153,4,,,
PRODA,R077,1,,KNOB_NEW,
PRODB,R193,2,,,
PRODA,R105,2,KNOB_STD,KNOB_A,
PRODA,R082,4,,,
PRODB,R058,3,,,PP_X9_0500
PRODA,R050,2,,,
PRODA,R129,4,,,
PRODA,R001,4,,,
PRODB,R066,3,,,
PRODA,R135,3,KNOB_STD,KNOB_NEW,
PRODB,R076,1,,KNOB_A,PP_X9_0500
PRODB,R165,1,,PP_X9_2300,PP_X9_0500
PRODA,R187,1,KNOB_STD,KNOB_A,
PRODB,R166,4,,,
PRODB,R082,2,,,
PRODB,R109,4,,KNOB_A,KNOB_M1
PRODB,R147,4,,,
PRODB,R164,2,,KNOB_A,KNOB_M1
PRODA,R126,4,,,
PRODA,R199,4,PP_X9_0200,KNOB_B,
PRODA,R142,2,,,
PRODB,R105,3,,KNOB_A,KNOB_M1
PRODA,R190,1,,,
PRODB,R186,3,,,
PRODA,R094,4,PP_X9_0200,KNOB_A,
PRODB,R063,1,,KNOB_A,KNOB_M1
PRODB,R139,3,,,
PRODA,R158,1,,,
PRODA,R015,5,,,
PRODA,R017,2,KNOB_STD,KNOB_NEW,
PRODA,R190,3,,,
PRODA,R107,3,PP_X9_0200,KNOB_B,
PRODB,R005,1,,,
PRODA,R195,3,,,
PRODB,R022,3,,,
PRODA,R129,1,,,
PRODA,R181,1,,KNOB_A,
PRODA,R042,1,KNOB_STD,KNOB_A,
PRODB,R159,4,,,
PRODB,R136,4,,,
PRODA,R174,2,,,
PRODA,R019,2,,,
PRODB,R061,1,,KNOB_A,KNOB_M1
PRODA,R144,1,,,
PRODA,R113,4,,,
PRODB,R052,1,,,
PRODA,R151,3,,,
PRODB,R181,3,,,
PRODB,R116,3,,,
PRODA,R059,3,,,
PRODB,R033,1,,,
PRODB,R085,3,,,
PRODA,R123,4,,,
PRODA,R057,1,KNOB_STD,KNOB_NEW,
PRODB,R190,3,,,
PRODA,R057,3,KNOB_STD,,
PRODA,R152,3,KNOB_STD,KNOB_A,
PRODB,R130,4,,,
PRODB,R190,2,,,
PRODB,R195,1,,KNOB_A,PP_X9_0500
PRODA,R073,1,,KNOB_NEW,
PRODA,R005,3,,,
PRODB,R094,1,,PP_X9_2300,KNOB_M1
PRODB,R109,3,,KNOB_A,KNOB_M1
PRODA,R146,3,,KNOB_A,
PRODB,R010,2,,,KNOB_M1
PRODA,R126,1,,,
PRODA,R174,4,,,
PRODA,R153,2,,,
PRODA,R158,2,,,
PRODA,R184,4,,KNOB_B,
PRODB,R135,1,,,
PRODB,R057,3,,,
PRODB,R071,3,,KNOB_A,KNOB_M1
PRODB,R026,4,,,
PRODB,R022,1,,,
PRODA,R043,1,,,
PRODB,R162,2,,,
PRODB,R055,3,,,
PRODA,R057,5,KNOB_STD,KNOB_NEW,
PRODA,R097,2,,,
PRODB,R162,1,,,
PRODA,R067,2,,,
PRODA,R143,1,,,
PRODA,R146,1,KNOB_STD,KNOB_NEW,
PRODB,R043,2,,,
PRODA,R175,2,KNOB_STD,KNOB_A,
PRODB,R061,2,,KNOB_A,KNOB_M1
PRODB,R030,4,,,
PRODB,R016,1,,,
PRODA,R103,1,,,
PRODA,R001,1,,,
PRODB,R072,1,,KNOB_A,KNOB_M1
PRODA,R091,4,,,
PRODB,R012,4,,,
PRODA,R041,1,KNOB_STD,KNOB_NEW,
PRODB,R131,3,,KNOB_A,KNOB_M1
PRODB,R122,4,,,
PRODB,R067,1,,,
PRODB,R001,3,,,
PRODA,R181,2,KNOB_STD,KNOB_NEW,
PRODA,R067,4,,,
PRODB,R142,2,,KNOB_A,KNOB_M1
PRODB,R195,5,,KNOB_A,KNOB_M1
PRODA,R044,4,,,
PRODA,R165,2,,,
PRODB,R024,1,,KNOB_A,KNOB_M1
PRODA,R135,4,KNOB_STD,KNOB_NEW,
PRODA,R059,1,KNOB_STD,KNOB_NEW,
PRODB,R155,4,,,
PRODB,R131,1,,KNOB_A,KNOB_M1
PRODB,R141,3,,,
PRODA,R033,2,,,
PRODA,R025,1,,,
PRODA,R146,2,KNOB_STD,KNOB_B,
PRODA,R140,1,,,
PRODA,R194,2,,,
PRODB,R112,4,,,
PRODB,R096,1,,,
PRODB,R061,4,,KNOB_A,KNOB_M1
PRODA,R012,4,,,
PRODA,R007,1,,KNOB_NEW,
PRODA,R188,3,,,
PRODB,R099,3,,,
PRODB,R122,1,,,
PRODB,R147,3,,,
PRODA,R181,5,PP_X9_0200,KNOB_B,
PRODA,R122,2,,,
PRODA,R168,4,,,
PRODB,R029,3,,,
PRODA,R042,4,,KNOB_NEW,
PRODB,R150,1,,,
PRODB,R023,2,,,
PRODB,R181,2,,,
PRODA,R173,1,,,
PRODB,R037,3,,,
PRODB,R170,4,,KNOB_A,KNOB_M1
PRODB,R029,2,,KNOB_A,KNOB_M1
PRODB,R043,3,,,
PRODA,R024,2,,,
PRODB,R183,1,,KNOB_A,KNOB_M1
PRODA,R079,5,,KNOB_A,
PRODB,R174,3,,KNOB_A,KNOB_M1
PRODB,R002,1,,KNOB_A,KNOB_M1
PRODA,R165,3,,,
PRODA,R159,1,,,
PRODA,R068,2,,,
PRODB,R073,1,,,
PRODB,R073,4,,,
PRODB,R037,2,,,
PRODB,R093,4,,,
PRODA,R125,1,,,
PRODA,R131,1,KNOB_STD,KNOB_NEW,
PRODB,R149,2,,,
PRODA,R107,5,KNOB_STD,KNOB_B,
PRODB,R159,1,,,
PRODA,R074,4,,,
PRODA,R019,3,,,
PRODB,R092,3,,KNOB_A,KNOB_M1
PRODB,R156,4,,,
PRODB,R008,2,,,
PRODB,R097,2,,,
PRODB,R169,2,,,
PRODB,R057,1,,,
PRODB,R167,4,,,
PRODB,R110,2,,KNOB_A,KNOB_M1
PRODA,R182,1,,KNOB_A,
PRODB,R152,3,,KNOB_A,KNOB_M1
PRODA,R080,4,,,
PRODA,R087,4,,,
PRODA,R073,3,KNOB_STD,KNOB_A,
PRODB,R001,2,,,
PRODB,R117,4,,,
PRODB,R156,2,,,
PRODB,R112,2,,,
PRODB,R075,2,,,
PRODA,R068,4,,,
PRODA,R104,1,,,
PRODB,R081,4,,,
PRODB,R168,5,,PP_X9_2300,KNOB_M1
PRODB,R164,4,,,
PRODB,R123,2,,,KNOB_M1
PRODA,R038,3,,,
PRODB,R024,3,,KNOB_A,KNOB_M1
PRODA,R073,2,KNOB_STD,KNOB_NEW,
PRODA,R082,2,,,
PRODA,R173,3,,,
PRODA,R058,2,,,
PRODB,R141,2,,,
PRODA,R175,4,KNOB_STD,KNOB_A,
PRODB,R059,2,,,
PRODA,R107,2,KNOB_STD,KNOB_B,
PRODA,R029,5,KNOB_STD,KNOB_B,
PRODA,R166,1,KNOB_STD,KNOB_B,
PRODA,R015,1,,,
PRODB,R027,4,,,
PRODB,R075,1,,,
PRODB,R002,2,,KNOB_A,KNOB_M1
PRODA,R007,2,,KNOB_B,
PRODA,R169,2,,KNOB_B,
PRODA,R067,1,,,
PRODA,R026,1,,,
PRODB,R135,2,,,
PRODB,R007,4,,KNOB_A,KNOB_M1
PRODA,R024,4,,,
PRODA,R099,3,,,
PRODB,R076,3,,PP_X9_2300,
PRODB,R117,1,,PP_X9_2300,KNOB_M1
PRODA,R120,2,,,
PRODA,R136,4,,,
PRODB,R139,2,,,
PRODB,R186,2,,,
PRODA,R103,2,,,
PRODB,R043,1,,,
PRODB,R136,3,,,
PRODA,R158,3,,,
PRODB,R097,3,,,
PRODB,R155,1,,,
PRODB,R069,1,,KNOB_A,KNOB_M1
PRODA,R033,3,,,
PRODB,R161,1,,,
PRODA,R010,3,,,
PRODA,R017,3,KNOB_STD,KNOB_B,
PRODB,R123,3,,KNOB_A,KNOB_M1
PRODB,R018,2,,,
PRODA,R076,2,,,
PRODB,R033,4,,,
PRODB,R183,2,,,KNOB_M1
PRODA,R057,2,PP_X9_0200,KNOB_NEW,
PRODA,R083,3,KNOB_STD,KNOB_NEW,
PRODA,R012,2,,,
PRODB,R156,1,,,
PRODB,R069,3,,KNOB_A,KNOB_M1
PRODB,R161,2,,,
PRODA,R105,3,KNOB_STD,KNOB_B,
PRODA,R193,5,KNOB_STD,KNOB_A,
PRODB,R056,3,,,
PRODA,R143,2,,,
PRODB,R022,2,,,
PRODB,R052,2,,,
PRODB,R027,3,,,
PRODB,R010,5,,KNOB_A,
PRODA,R186,3,PP_X9_0200,KNOB_A,
PRODA,R094,3,PP_X9_0200,,
PRODB,R071,1,,KNOB_A,
PRODA,R122,4,,,
PRODB,R096,4,,,
PRODB,R133,4,,,
PRODB,R195,2,,PP_X9_2300,
PRODA,R183,2,KNOB_STD,KNOB_B,
PRODB,R053,1,,KNOB_A,KNOB_M1
PRODA,R059,2,KNOB_STD,KNOB_B,
PRODA,R101,2,,,
PRODB,R105,4,,KNOB_A,PP_X9_0500
PRODA,R125,3,,,
PRODA,R195,1,,,
PRODB,R020,4,,,
PRODB,R169,1,,,
PRODA,R176,3,,KNOB_B,
PRODB,R183,3,,KNOB_A,KNOB_M1
PRODB,R042,4,,,
PRODB,R131,4,,,KNOB_M1
PRODB,R129,3,,KNOB_A,KNOB_M1
PRODA,R057,4,KNOB_STD,KNOB_A,
PRODA,R091,3,,,
PRODB,R123,1,,,KNOB_M1
PRODB,R165,2,,KNOB_A,KNOB_M1
PRODA,R054,3,,,
PRODB,R018,4,,,
PRODA,R196,3,,KNOB_NEW,
PRODB,R169,4,,,
PRODB,R007,3,,,KNOB_M1
PRODB,R018,1,,,
PRODB,R034,1,,,KNOB_M1
PRODB,R034,2,,,KNOB_M1
PRODB,R092,1,,KNOB_A,KNOB_M1
PRODB,R020,2,,,
PRODA,R038,2,,,
PRODB,R057,4,,,
PRODB,R037,4,,,
PRODA,R058,1,,,
PRODA,R107,1,,KNOB_B,
PRODB,R152,1,,KNOB_A,KNOB_M1
PRODB,R109,5,,KNOB_A,KNOB_M1
PRODA,R020,2,,,
PRODB,R085,1,,,
PRODA,R081,4,,,
PRODA,R104,2,,,
PRODB,R016,2,,,
PRODB,R195,3,,,KNOB_M1
PRODB,R088,4,,KNOB_A,KNOB_M1
PRODB,R145,2,,,
PRODA,R044,2,,,
PRODB,R099,4,,,
PRODB,R081,2,,,
PRODA,R081,1,,,
PRODA,R131,3,KNOB_STD,KNOB_A,
PRODA,R190,2,,,
PRODA,R026,2,,,
PRODA,R043,4,,,
PRODB,R055,1,,,
PRODA,R182,2,KNOB_STD,KNOB_NEW,
PRODB,R147,2,,,
PRODA,R188,1,,,
PRODA,R099,2,,,
PRODA,R183,5,KNOB_STD,,
PRODA,R010,1,,,
PRODB,R027,2,,,
PRODB,R008,1,,,
PRODA,R196,4,KNOB_STD,KNOB_A,
PRODB,R132,3,,KNOB_A,
PRODA,R001,3,,,
PRODB,R110,4,,PP_X9_2300,KNOB_M1
PRODB,R131,2,,KNOB_A,KNOB_M1
PRODA,R045,1,,,
PRODA,R122,1,,,
PRODB,R065,3,,,
PRODB,R193,4,,,
PRODA,R164,3,,,
PRODB,R149,1,,,
PRODA,R150,2,PP_X9_0200,KNOB_B,
PRODA,R152,1,KNOB_STD,KNOB_B,
PRODA,R144,2,,,
PRODB,R148,3,,,
PRODB,R081,1,,,
PRODB,R117,2,,KNOB_A,KNOB_M1
PRODB,R142,4,,KNOB_A,KNOB_M1
PRODB,R058,1,,KNOB_A,KNOB_M1
PRODB,R066,4,,,
PRODA,R163,2,,,
PRODA,R146,4,,,
PRODA,R025,3,,,
PRODA,R096,3,,,
PRODA,R125,4,,,
PRODA,R106,2,KNOB_STD,KNOB_B,
PRODA,R045,4,,,
PRODA,R085,4,,,
PRODB,R056,2,,,
PRODB,R110,3,,,KNOB_M1
PRODA,R068,1,,,
PRODB,R148,4,,,
PRODB,R170,2,,KNOB_A,KNOB_M1
PRODA,R106,4,,,
PRODB,R032,3,,,
PRODB,R073,2,,,
PRODB,R094,3,,,
PRODB,R130,2,,,
PRODB,R085,4,,,
PRODB,R130,3,,,
PRODA,R037,2,,,
PRODB,R065,4,,,
PRODB,R145,3,,,
PRODA,R169,3,KNOB_STD,KNOB_NEW,
PRODA,R135,1,KNOB_STD,KNOB_B,
PRODB,R181,1,,,
PRODA,R159,2,,,
PRODB,R162,4,,,
PRODB,R148,2,,,
PRODA,R141,2,,KNOB_A,
PRODB,R008,4,,,
PRODA,R167,1,,,
PRODA,R111,1,KNOB_STD,KNOB_B,
PRODA,R012,3,,,
PRODB,R006,4,,,
PRODA,R056,2,KNOB_STD,KNOB_NEW,
PRODA,R062,2,KNOB_STD,KNOB_NEW,
PRODB,R069,2,,KNOB_A,KNOB_M1
PRODB,R083,2,,KNOB_A,KNOB_M1
PRODA,R015,3,,,
PRODA,R012,1,,,
PRODA,R070,2,PP_X9_0200,KNOB_B,
PRODB,R166,1,,,
PRODA,R099,1,,,
PRODA,R155,3,KNOB_STD,,
PRODB,R166,2,,,
PRODB,R152,2,,KNOB_A,KNOB_M1
PRODB,R183,5,,KNOB_A,PP_X9_0500
PRODB,R029,1,,KNOB_A,KNOB_M1
PRODB,R174,2,,KNOB_A,KNOB_M1
PRODA,R136,2,,,
PRODB,R067,3,,,
PRODB,R199,4,,,
PRODA,R185,3,,,
PRODB,R016,3,,,
PRODB,R089,4,,KNOB_A,KNOB_M1
PRODB,R042,3,,,
PRODB,R049,2,,,
PRODB,R199,1,,KNOB_A,KNOB_M1
PRODB,R156,3,,,
PRODA,R165,4,,,
PRODA,R029,2,KNOB_STD,KNOB_B,
PRODA,R155,1,KNOB_STD,KNOB_A,
PRODA,R097,3,,,
PRODA,R054,4,,,
PRODA,R092,2,,,
PRODA,R152,2,KNOB_STD,KNOB_B,
PRODA,R079,3,KNOB_STD,KNOB_B,
PRODB,R168,1,,KNOB_A,PP_X9_0500
PRODA,R097,1,,,
PRODA,R186,2,KNOB_STD,KNOB_NEW,
PRODB,R167,2,,,
PRODA,R184,3,KNOB_STD,KNOB_B,
PRODB,R157,2,,,
PRODB,R031,1,,,
PRODA,R155,4,,KNOB_A,
PRODB,R167,1,,,
PRODA,R105,5,KNOB_STD,KNOB_NEW,
PRODA,R075,1,,,
PRODB,R099,1,,KNOB_A,KNOB_M1
PRODB,R195,4,,PP_X9_2300,KNOB_M1
PRODB,R145,4,,,
PRODA,R016,2,,,
PRODA,R104,4,,,
PRODA,R033,1,,,
PRODB,R001,1,,,
PRODB,R067,2,,,
PRODA,R050,1,,,
PRODB,R088,2,,KNOB_A,KNOB_M1
PRODB,R007,2,,KNOB_A,PP_X9_0500
PRODA,R094,2,KNOB_STD,KNOB_NEW,
PRODB,R110,1,,KNOB_A,KNOB_M1
PRODB,R037,1,,,
PRODB,R181,4,,,
PRODB,R076,4,,KNOB_A,KNOB_M1
PRODB,R031,4,,,
