PRODUCT,ROOT_LOT_ID,WAFER_ID,INLINE_ITEM_CD_001_mean,INLINE_ITEM_THK_002_last
PRODA,R101,4,96.9562,114.8633
PRODA,R175,5,,
PRODB,R130,3,,
PRODB,R186,4,90.7662,107.1951
PRODB,R117,3,,
PRODA,R043,3,96.7445,93.6978
PRODB,R066,3,94.5666,85.8144
PRODB,R132,5,,
PRODB,R105,3,103.5517,106.6286
PRODA,R166,3,,
PRODA,R063,3,,
PRODB,R112,3,93.2891,98.565
PRODA,R020,1,113.0131,106.9207
PRODA,R186,1,,
PRODB,R174,4,,
PRODA,R144,2,94.6551,90.5401
PRODB,R117,1,,
PRODA,R074,1,,
PRODA,R046,1,,
PRODA,R138,1,,
PRODA,R151,2,,
PRODB,R056,2,,
PRODA,R190,4,106.5175,101.9347
PRODA,R068,3,,
PRODA,R059,2,97.3651,120.9798
PRODB,R122,2,89.4373,84.7537
PRODB,R032,1,,
PRODA,R010,3,112.9992,104.477
PRODA,R033,4,111.806,95.0908
PRODB,R007,3,,
PRODB,R132,1,98.6336,102.8963
PRODB,R159,3,80.1373,73.9895
PRODA,R120,4,100.79705,104.0943
PRODB,R026,4,95.0585,108.3682
PRODA,R076,2,,
PRODA,R042,3,,
PRODA,R101,1,95.3846,101.3272
PRODA,R107,2,,
PRODB,R164,1,103.5952,98.138
PRODA,R175,3,,
PRODA,R012,4,98.4844,100.3908
PRODA,R184,4,,
PRODA,R010,1,102.1304,98.1317
PRODB,R131,1,107.3097,103.2777
PRODB,R167,4,,
PRODA,R001,3,,
PRODB,R105,4,105.9986,97.0455
PRODA,R144,4,100.7087,98.053
PRODA,R075,3,107.6045,99.7472
PRODA,R126,2,101.21385,94.3589
PRODA,R085,4,,
PRODB,R056,1,,
PRODB,R094,1,112.6757,91.501
PRODB,R183,1,100.2698,101.1205
PRODA,R174,2,,
PRODB,R199,3,110.1291,113.9204
PRODA,R123,4,121.5725,105.9661
PRODB,R156,2,,
PRODA,R196,4,,
PRODA,R096,3,,
PRODA,R153,2,95.4122,96.1538
PRODA,R136,1,99.089,103.0784
PRODB,R072,4,,
PRODA,R050,4,110.2033,104.3736
PRODB,R067,3,,
PRODA,R010,2,118.5509,96.7293
PRODB,R020,1,95.703,96.5333
PRODB,R136,1,99.2904,98.7478
PRODB,R109,5,,
PRODA,R175,2,,
PRODA,R155,3,,
PRODB,R109,4,,
PRODA,R158,3,,
PRODA,R123,3,82.4736,85.3866
PRODB,R071,1,,
PRODA,R092,3,,
PRODB,R130,2,,
PRODA,R138,3,,
PRODA,R087,3,,
PRODA,R029,5,,
PRODB,R109,1,,
PRODA,R062,2,96.0334,111.8545
PRODA,R126,3,108.6224,86.4185
PRODA,R006,2,,
PRODB,R024,4,,
PRODB,R114,1,,
PRODB,R053,2,,
PRODB,R039,4,109.8593,92.8327
PRODB,R117,2,,
PRODA,R077,1,,
PRODA,R175,4,,
PRODB,R116,3,94.2829,106.5722
PRODA,R107,1,,
PRODA,R005,4,,
PRODA,R026,2,92.6379,102.1719
PRODA,R018,2,,
PRODA,R164,4,,
PRODB,R055,4,102.9213,118.8572
PRODA,R050,2,102.5622,93.1476
PRODB,R112,1,102.1211,116.4868
PRODB,R056,4,,
PRODA,R195,1,,
PRODA,R174,1,,
PRODA,R103,4,105.1365,120.1059
PRODA,R131,3,86.4832,76.2032
PRODA,R131,4,100.0198,92.0145
PRODB,R083,2,,
PRODA,R081,3,99.8901,90.1907
PRODB,R076,4,,
PRODB,R012,2,,
PRODB,R059,4,96.3079,104.5995
PRODB,R152,2,,
PRODA,R134,4,86.8705,85.9216
PRODB,R059,3,99.2118,115.7918
PRODA,R058,1,105.3495,99.4218
PRODB,R064,3,,
PRODA,R199,4,,
PRODA,R057,5,,
PRODB,R092,1,,
PRODB,R079,1,91.1821,91.2107
PRODA,R190,3,101.2293,104.3426
PRODB,R076,3,,
PRODA,R107,5,,
PRODA,R125,1,,
PRODB,R027,4,94.6254,112.6697
PRODA,R150,5,,
PRODB,R155,3,,
PRODB,R049,4,,
PRODA,R146,3,93.8601,112.7895
PRODB,R012,1,,
PRODB,R049,3,,
PRODA,R158,1,,
PRODA,R184,5,,
PRODB,R058,4,,
PRODA,R082,2,,
PRODB,R139,2,102.5093,101.2633
PRODB,R133,2,93.7023,108.675
PRODA,R041,2,,
PRODB,R071,4,,
PRODB,R147,3,108.9325,97.4244
PRODB,R170,1,104.88685000000001,82.3118
PRODB,R018,3,105.9995,89.8104
PRODA,R193,2,82.7849,101.5195
PRODA,R059,4,103.5748,83.7516
PRODA,R058,2,109.577,95.0474
PRODB,R053,3,,
PRODB,R076,5,,
PRODA,R153,4,100.7222,93.3309
PRODB,R092,3,,
PRODA,R073,1,,
PRODB,R032,3,,
PRODA,R050,1,100.6422,89.7514
PRODA,R135,4,92.6015,103.4714
PRODB,R007,4,,
PRODB,R183,2,100.4845,98.5888
PRODB,R061,3,91.3006,94.6023
PRODB,R085,4,,
PRODA,R044,4,,
PRODB,R088,3,,
PRODA,R141,2,,
PRODA,R182,1,,
PRODB,R112,2,98.8244,88.5561
PRODB,R001,2,99.2829,99.4108
PRODB,R065,3,,
PRODB,R116,1,116.033,99.5526
PRODA,R104,1,102.1407,117.9051
PRODB,R094,4,97.7071,97.9704
PRODB,R186,3,104.0869,76.1164
PRODB,R039,1,96.5094,112.1398
PRODA,R120,3,96.4336,110.7533
PRODB,R097,2,,
PRODA,R181,4,,
PRODA,R122,4,,
PRODB,R001,3,90.6473,96.116
PRODB,R016,2,106.9153,92.2832
PRODB,R008,3,98.3754,104.8279
PRODB,R020,2,101.9338,106.3407
PRODA,R146,1,103.5503,94.8341
PRODB,R156,3,,
PRODB,R099,4,,
PRODA,R017,3,,
PRODB,R066,2,103.20253333333334,111.0799
PRODA,R131,1,87.7303,100.2803
PRODA,R146,2,91.8012,105.4875
PRODB,R022,1,98.1869,111.9213
PRODA,R183,1,99.6249,89.3282
PRODA,R150,2,,
PRODA,R169,3,,
PRODB,R023,2,109.5804,101.6899
PRODB,R093,3,,
PRODA,R083,1,,
PRODB,R034,3,,
PRODB,R148,1,,
PRODA,R070,3,95.7899,100.4702
PRODB,R037,1,,
PRODB,R131,2,100.7658,100.3462
PRODA,R046,4,,
PRODB,R083,4,,
PRODB,R039,3,89.0426,92.935
PRODA,R152,4,,
PRODB,R083,1,,
PRODB,R168,4,,
PRODB,R006,2,107.6848,105.7463
PRODB,R110,4,,
PRODA,R029,4,,
PRODA,R174,3,,
PRODB,R116,2,103.4366,89.8738
PRODB,R032,2,,
PRODA,R186,5,,
PRODB,R162,4,,
PRODB,R076,2,,
PRODB,R072,3,,
PRODB,R156,1,,
PRODB,R067,1,,
PRODB,R082,4,,
PRODA,R070,4,92.2128,96.8268
PRODB,R085,3,,
PRODA,R091,2,,
PRODA,R169,1,,
PRODB,R129,4,,
PRODA,R041,1,,
PRODA,R038,1,105.7858,83.5206
PRODB,R057,3,79.4477,95.3269
PRODA,R057,2,110.7291,110.6197
PRODB,R142,2,,
PRODA,R120,1,103.13,98.3183
PRODB,R027,3,96.8608,97.2507
PRODA,R012,3,104.9339,115.4086
PRODB,R029,2,,
PRODB,R030,2,,
PRODA,R107,4,,
PRODB,R169,1,,
PRODA,R026,3,90.1697,82.1943
PRODA,R152,3,,
PRODB,R057,1,105.4412,82.0593
PRODA,R136,2,87.9423,101.9678
PRODA,R019,1,,
PRODA,R029,1,,
PRODA,R176,3,,
PRODB,R161,2,96.7637,88.1129
PRODA,R080,2,,
PRODB,R030,4,,
PRODB,R026,3,85.8231,95.6311
PRODB,R065,2,,
PRODB,R066,1,102.62686666666666,106.019
PRODA,R103,2,98.4819,89.2588
PRODB,R063,3,,
PRODA,R185,4,98.67410000000001,112.8988
PRODA,R164,3,,
PRODB,R139,4,97.2766,81.5779
PRODA,R186,2,,
PRODA,R079,5,,
PRODB,R131,3,91.6106,112.2092
PRODA,R038,3,90.6341,107.365
PRODA,R063,1,,
PRODA,R070,2,93.1938,102.1943
PRODB,R069,1,,
PRODB,R181,2,,
PRODA,R129,4,101.98585,95.5468
PRODB,R123,3,,
PRODB,R022,3,105.0879,91.1861
PRODB,R072,1,,
PRODA,R125,4,,
PRODB,R190,3,119.473,100.3357
PRODB,R072,2,,
PRODB,R162,1,,
PRODB,R099,2,,
PRODA,R135,3,112.2224,106.0639
PRODA,R016,3,,
PRODA,R196,3,,
PRODA,R077,2,,
PRODB,R148,4,,
PRODB,R141,1,97.8725,102.1638
PRODA,R159,2,102.93803333333334,108.0727
PRODA,R019,2,,
PRODB,R020,4,87.8341,105.7182
PRODB,R155,4,,
PRODA,R190,2,102.6365,109.2095
PRODA,R199,1,,
PRODB,R008,4,107.2478,99.4755
PRODB,R049,1,,
PRODA,R056,2,,
PRODB,R092,2,,
PRODA,R006,3,,
PRODA,R073,2,,
PRODB,R020,3,95.2992,121.8767
PRODA,R079,1,,
PRODB,R195,5,,
PRODB,R135,1,102.65355,89.6718
PRODB,R181,4,,
PRODA,R012,2,100.4793,107.7441
PRODB,R141,3,101.1284,88.0446
PRODA,R057,3,110.7319,93.8737
PRODA,R057,1,87.2349,95.4746
PRODA,R001,2,,
PRODA,R038,2,102.6379,91.4909
PRODB,R082,2,,
PRODA,R025,4,104.962,91.6516
PRODA,R050,3,103.2035,111.9725
PRODB,R152,3,,
PRODB,R136,4,81.2973,91.958
PRODB,R159,1,105.3123,87.7177
PRODA,R015,2,,
PRODA,R111,2,100.6886,99.7994
PRODA,R018,1,,
PRODB,R096,1,101.5954,107.0039
PRODA,R142,1,,
PRODA,R150,1,,
PRODB,R052,1,,
PRODA,R067,3,103.1491,105.1627
PRODA,R181,5,,
PRODB,R147,4,94.1433,106.3246
PRODA,R138,4,,
PRODA,R158,2,,
PRODB,R018,1,101.61935,97.4523
PRODB,R190,4,119.4049,93.7549
PRODB,R195,1,,
PRODB,R067,2,,
PRODA,R166,2,,
PRODA,R130,2,98.2717,93.2443
PRODB,R142,1,,
PRODA,R125,3,,
PRODB,R081,2,102.2062,86.037
PRODA,R182,2,,
PRODB,R007,2,,
PRODB,R199,1,94.7249,103.3961
PRODB,R110,1,,
PRODA,R193,3,94.7799,91.655
PRODA,R142,3,,
PRODB,R023,4,108.3278,92.155
PRODA,R181,3,,
PRODA,R062,3,101.47115,106.9906
PRODB,R167,2,,
PRODB,R093,4,,
PRODB,R109,2,,
PRODA,R082,3,,
PRODA,R091,4,,
PRODB,R195,2,,
PRODA,R026,1,103.0587,101.1775
PRODA,R107,3,,
PRODB,R161,1,86.9973,116.635
PRODB,R110,3,,
PRODB,R071,2,,
PRODB,R055,1,105.1104,99.245
PRODB,R024,3,,
PRODB,R006,3,95.3907,105.9878
PRODA,R026,4,102.2725,85.592
PRODA,R167,2,,
PRODB,R136,3,105.67,115.5655
PRODB,R123,2,,
PRODA,R188,2,119.7265,101.0296
PRODA,R024,1,98.8596,91.0899
PRODA,R129,2,101.0272,111.6862
PRODA,R043,2,101.0328,96.7318
PRODA,R122,1,,
PRODB,R012,4,,
PRODA,R129,3,97.66855000000001,98.5174
PRODB,R099,3,,
PRODB,R058,2,,
PRODA,R135,2,95.6766,100.9295
PRODA,R155,2,,
PRODA,R195,4,,
PRODB,R193,1,101.98233333333333,98.44
PRODA,R070,1,97.7429,95.3523
PRODB,R093,1,,
PRODA,R083,2,,
PRODB,R148,2,,
PRODB,R042,1,,
PRODB,R033,3,,
PRODB,R010,5,,
PRODB,R033,2,,
PRODB,R166,3,103.7297,119.3829
PRODB,R075,3,99.5433,96.4988
PRODB,R169,2,,
PRODA,R019,3,,
PRODA,R115,1,,
PRODB,R002,3,,
PRODA,R186,4,,
PRODB,R170,2,88.36495,94.8411
PRODA,R037,3,,
PRODB,R159,2,105.3529,101.975
PRODB,R164,3,92.81285,103.0082
PRODB,R073,3,88.5222,110.973
PRODB,R122,1,98.9974,112.8604
PRODB,R053,1,,
PRODB,R043,4,,
PRODB,R024,1,,
PRODA,R184,2,,
PRODB,R065,4,,
PRODB,R031,4,,
PRODA,R168,4,105.9566,95.0451
PRODA,R085,1,,
PRODA,R037,4,,
PRODA,R113,3,100.0988,101.357
PRODB,R076,1,,
PRODA,R148,1,106.5513,94.014
PRODB,R168,2,,
PRODA,R183,3,97.64725,95.5072
PRODA,R010,4,112.1936,101.9473
PRODA,R057,4,80.3071,99.0865
PRODB,R157,3,105.6826,80.0854
PRODB,R195,4,,
PRODB,R152,4,,
PRODA,R044,3,,
PRODA,R144,3,100.3206,95.3881
PRODB,R006,1,91.2656,108.5544
PRODA,R163,2,100.8547,103.6451
PRODA,R099,4,,
PRODA,R163,3,94.5892,109.6265
PRODB,R166,2,110.2603,90.6026
PRODB,R027,1,100.852,104.041
PRODA,R045,3,96.6083,100.8738
PRODB,R150,4,109.9009,103.0992
PRODA,R190,1,118.6638,104.8338
PRODA,R167,4,,
PRODA,R016,2,,
PRODB,R005,3,90.194,102.4321
PRODB,R064,1,,
PRODB,R167,1,,
PRODA,R024,4,111.9768,104.064
PRODB,R037,3,,
PRODA,R094,4,,
PRODA,R176,2,,
PRODA,R046,3,,
PRODB,R026,2,106.5785,104.1127
PRODA,R063,4,,
PRODB,R148,3,,
PRODB,R052,4,,
PRODA,R097,4,106.7892,104.9116
PRODA,R056,1,,
PRODB,R007,1,,
PRODA,R096,2,,
PRODA,R150,4,,
PRODB,R161,4,106.9748,111.5659
PRODB,R166,4,103.0365,90.2263
PRODB,R165,3,,
PRODB,R183,3,107.2315,111.5023
PRODB,R142,4,,
PRODB,R063,1,,
PRODB,R018,2,99.3352,93.3957
PRODA,R020,2,90.8956,99.2175
PRODB,R089,1,,
PRODA,R153,1,95.3192,104.9568
PRODA,R067,1,93.4927,104.0733
PRODA,R169,2,,
PRODA,R159,1,106.46436666666666,94.5122
PRODB,R075,1,89.7919,98.1599
PRODB,R085,1,,
PRODB,R010,3,,
PRODB,R081,4,111.4215,102.8646
PRODB,R039,2,85.0541,103.0273
PRODB,R123,1,,
PRODB,R105,2,111.4117,104.9967
PRODB,R071,3,,
PRODB,R056,3,,
PRODA,R059,3,99.1679,102.6044
PRODB,R186,1,112.0241,115.0943
PRODB,R031,1,,
PRODA,R042,4,,
PRODB,R096,2,93.9347,112.1275
PRODB,R008,2,91.9535,93.5652
PRODB,R079,3,101.4437,97.1085
PRODA,R129,1,100.9839,100.1131
PRODA,R193,4,88.6863,95.287
PRODA,R087,2,,
PRODB,R099,1,,
PRODA,R042,2,,
PRODA,R101,3,97.3517,115.2162
PRODA,R079,2,,
PRODA,R106,4,,
PRODA,R106,5,,
PRODB,R199,2,98.8905,109.3524
PRODB,R042,2,,
PRODB,R168,1,,
PRODA,R194,1,,
PRODA,R091,3,,
PRODB,R159,4,83.1565,112.0999
PRODA,R005,3,,
PRODB,R097,4,,
PRODA,R067,4,96.3453,110.6703
PRODB,R006,4,115.1143,95.8346
PRODA,R105,1,,
PRODB,R190,2,108.2394,92.9235
PRODA,R067,2,103.3391,101.4934
PRODB,R150,2,93.4685,95.6691
PRODB,R079,4,109.277,101.9218
PRODA,R081,4,93.8117,103.452
PRODA,R199,3,,
PRODB,R190,1,94.1917,108.7318
PRODA,R138,2,,
PRODB,R073,1,102.4857,94.3359
PRODA,R136,4,108.4852,101.853
PRODB,R141,2,110.794,98.2193
PRODA,R075,2,97.0928,95.6544
PRODB,R043,2,,
PRODB,R183,5,,
PRODA,R130,4,110.5318,103.4803
PRODA,R165,2,96.45095,100.9678
PRODA,R068,2,,
PRODB,R122,4,110.5083,103.5633
PRODB,R058,3,,
PRODB,R117,4,,
PRODA,R075,4,97.1989,86.9994
PRODA,R033,3,92.4495,100.7882
PRODA,R015,1,,
PRODA,R125,2,,
PRODA,R111,3,106.6878,114.2667
PRODA,R142,4,,
PRODA,R173,3,,
PRODA,R015,3,,
PRODB,R063,2,,
PRODA,R165,3,93.37115,108.5732
PRODA,R153,3,86.6083,103.2146
PRODA,R175,1,,
PRODA,R143,1,,
PRODB,R132,2,91.6394,114.8457
PRODB,R002,1,,
PRODB,R181,3,,
PRODB,R130,4,,
PRODA,R085,2,,
PRODA,R015,5,,
PRODB,R088,2,,
PRODA,R063,2,,
PRODB,R139,1,87.345,107.4923
PRODB,R147,2,96.4951,105.7491
PRODA,R113,1,101.0477,96.5606
PRODA,R195,2,,
PRODB,R122,3,91.2265,99.7199
PRODB,R168,5,,
PRODA,R151,3,,
PRODA,R082,4,,
PRODA,R193,5,,
PRODB,R081,1,119.4607,90.0658
PRODB,R022,2,90.8618,100.7328
PRODB,R164,4,102.2122,100.9605
PRODA,R143,2,,
PRODA,R167,3,,
PRODA,R199,2,,
PRODB,R114,2,,
PRODB,R162,3,,
PRODA,R043,4,89.7885,106.6307
PRODB,R165,1,,
PRODA,R037,1,,
PRODA,R025,3,86.4274,103.9652
PRODB,R005,1,109.4614,103.8336
PRODA,R105,2,,
PRODB,R150,1,95.79,106.0145
PRODB,R073,4,102.261,118.9427
PRODB,R016,3,109.396,100.3411
PRODA,R081,1,97.8947,92.9564
PRODB,R026,1,89.9063,81.0826
PRODA,R113,4,86.8156,104.2038
PRODA,R194,4,,
PRODA,R126,1,100.6447,99.9981
PRODB,R089,3,,
PRODA,R166,1,,
PRODB,R131,4,99.7353,108.676
PRODB,R129,1,,
PRODB,R150,3,102.8474,111.961
PRODB,R164,2,109.7183,100.5557
PRODA,R083,4,,
PRODB,R034,2,,
PRODA,R122,3,,
PRODB,R027,2,89.887,101.8474
PRODA,R092,4,,
PRODB,R154,3,,
PRODB,R037,2,,
PRODA,R058,3,104.073,90.861
PRODA,R105,4,,
PRODA,R045,2,106.8277,108.3483
PRODB,R156,4,,
PRODB,R010,1,,
PRODB,R174,2,,
PRODA,R104,4,104.4531,111.0258
PRODA,R105,5,,
PRODB,R165,2,,
PRODA,R136,3,94.0633,104.914
PRODA,R150,3,,
PRODA,R111,4,108.0261,103.5271
PRODB,R024,2,,
PRODB,R139,3,79.6099,97.4067
PRODB,R043,1,,
PRODA,R134,1,109.0556,102.6824
PRODA,R029,2,,
PRODA,R181,2,,
PRODA,R018,4,,
PRODA,R068,4,,
PRODB,R174,1,,
PRODB,R094,2,107.3888,107.1309
PRODA,R025,2,108.3846,96.7742
PRODB,R149,4,,
PRODA,R054,3,,
PRODA,R038,4,99.4644,105.6904
PRODA,R103,1,103.8178,110.6478
PRODB,R033,4,,
PRODA,R074,4,,
PRODB,R061,2,109.1844,113.4547
PRODB,R075,2,95.5837,108.2983
PRODA,R082,1,,
PRODB,R001,1,100.874,114.4722
PRODA,R005,2,,
PRODA,R195,3,,
PRODB,R049,2,,
PRODB,R029,1,,
PRODA,R194,3,,
PRODB,R096,4,101.8261,108.3905
PRODA,R083,3,,
PRODA,R094,3,,
PRODB,R170,3,104.74875,93.6108
PRODA,R087,4,,
PRODB,R030,3,,
PRODB,R097,1,,
PRODB,R029,3,,
PRODB,R149,1,,
PRODB,R069,3,,
PRODB,R145,1,,
PRODB,R155,1,,
PRODA,R074,2,,
PRODB,R193,2,103.35463333333333,97.0281
PRODA,R079,3,,
PRODB,R162,2,,
PRODA,R168,1,99.2358,102.592
PRODB,R145,4,,
PRODB,R110,2,,
PRODB,R105,1,99.0397,90.2125
PRODB,R161,3,83.633,87.5992
PRODA,R099,3,,
PRODB,R031,2,,
PRODA,R130,1,96.2175,95.2318
PRODB,R057,4,98.2247,100.2078
PRODA,R165,1,100.74785,104.0486
PRODB,R016,1,102.7963,99.7408
PRODA,R081,2,96.0286,105.3484
PRODA,R054,2,,
PRODB,R069,2,,
PRODB,R167,3,,
PRODB,R183,4,101.8296,100.6988
PRODA,R007,1,,
PRODA,R091,1,,
PRODB,R081,3,97.1388,93.9088
PRODB,R145,3,,
PRODB,R055,2,106.84705,115.7387
PRODB,R096,3,96.1663,103.4724
PRODA,R152,1,,
PRODB,R093,2,,
PRODA,R094,2,,
PRODB,R052,2,,
PRODB,R145,2,,
PRODA,R097,3,103.0705,109.2326
PRODA,R184,1,,
PRODA,R148,3,110.6893,99.7334
PRODA,R001,1,,
PRODB,R152,1,,
PRODA,R122,2,,
PRODB,R065,1,,
PRODA,R024,3,81.2906,107.6535
PRODB,R129,3,,
PRODB,R067,4,,
PRODA,R062,1,92.74945,97.6781
PRODB,R186,2,107.5896,113.2501
PRODA,R099,2,,
PRODB,R132,3,110.3184,95.9578
PRODB,R023,3,101.5793,111.8068
PRODA,R196,1,,
PRODB,R061,4,106.8115,110.8435
PRODB,R142,3,,
PRODB,R157,2,102.9951,112.6515
PRODA,R113,2,113.8459,94.4497
PRODA,R097,1,97.3951,114.0094
PRODB,R135,4,94.14189999999999,101.075
PRODB,R057,2,97.6271,103.9847
PRODB,R073,2,99.4145,104.3669
PRODA,R164,1,,
PRODB,R052,3,,
PRODA,R186,3,,
PRODA,R120,2,105.9017,87.0933
PRODB,R112,4,91.7754,97.5337
PRODA,R194,2,,
PRODA,R142,2,,
PRODB,R133,1,99.2699,94.5174
PRODA,R185,1,103.77605,88.7472
PRODA,R020,3,93.7513,96.4517
PRODB,R001,4,85.7493,97.5886
PRODA,R075,1,103.138,90.991
PRODA,R080,3,,
PRODB,R170,4,93.80080000000001,109.8043
PRODB,R157,4,94.6884,98.7498
PRODA,R007,2,,
PRODA,R054,4,,
PRODA,R105,3,,
PRODB,R023,1,109.0611,107.3069
PRODA,R141,1,,
PRODA,R183,4,100.01755,100.5173
PRODB,R042,3,,
PRODA,R018,3,,
PRODB,R033,1,,
PRODB,R089,4,,
PRODA,R135,5,,
PRODA,R152,2,,
PRODA,R163,1,110.3513,95.4366
